Date,Air Temp (F),Dewpoint (F),Precip (inches),Wind Speed (mph)
01/01/2017 00:00 EST,44,24,0,4.6
01/01/2017 01:00 EST,44,25,0,3.5
01/01/2017 02:00 EST,44,26,0,4.6
01/01/2017 03:00 EST,45,25,0,7.5
01/01/2017 04:00 EST,44,25,0,10.4
01/01/2017 05:00 EST,45,24,0,6.9
01/01/2017 06:00 EST,44,25,0,3.5
01/01/2017 07:00 EST,44,25,0,5.8
01/01/2017 08:00 EST,44,26,0,8.1
01/01/2017 09:00 EST,44,26,0,5.8
01/01/2017 10:00 EST,46,28,0,9.2
01/01/2017 11:00 EST,45,23,0,11.5
01/01/2017 12:00 EST,46,23,0,12.7
01/01/2017 13:00 EST,47,22,0,10.4
01/01/2017 14:00 EST,47,20,0,4.6
01/01/2017 15:00 EST,47,18,0,4.6
01/01/2017 16:00 EST,47,18,0,5.8
01/01/2017 17:00 EST,46,17,0,0
01/01/2017 18:00 EST,45,16,0,0
01/01/2017 19:00 EST,43,19,0,3.5
01/01/2017 20:00 EST,41,20,0,4.6
01/01/2017 21:00 EST,42,18,0,5.8
01/01/2017 22:00 EST,42,18,0,4.6
01/01/2017 23:00 EST,41,19,0,4.6
01/02/2017 00:00 EST,41,20,0,8.1
01/02/2017 01:00 EST,40,23,0,8.1
01/02/2017 02:00 EST,38,28,0,9.2
01/02/2017 03:00 EST,38,27,0,5.8
01/02/2017 04:00 EST,39,24,0,6.9
01/02/2017 05:00 EST,38,25,0,6.9
01/02/2017 06:00 EST,38,24,0,6.9
01/02/2017 07:00 EST,39,24,0,6.9
01/02/2017 08:00 EST,37,30,0.01,6.9
01/02/2017 09:00 EST,37,33,0.02,4.6
01/02/2017 10:00 EST,39,34,0.01,9.2
01/02/2017 11:00 EST,40,34,0,8.1
01/02/2017 12:00 EST,39,34,0,9.2
01/02/2017 13:00 EST,39,36,0.01,10.4
01/02/2017 14:00 EST,39,36,0.02,9.2
01/02/2017 15:00 EST,39,37,0.02,10.4
01/02/2017 16:00 EST,40,37,0.02,9.2
01/02/2017 17:00 EST,39,37,0.02,8.1
01/02/2017 18:00 EST,39,37,0.02,11.5
01/02/2017 19:00 EST,39,38,0.03,12.7
01/02/2017 20:00 EST,39,38,0,12.7
01/02/2017 21:00 EST,39,38,0,15
01/02/2017 22:00 EST,39,38,0,11.5
01/02/2017 23:00 EST,39,38,0,8.1
01/03/2017 00:00 EST,39,37,0.02,10.4
01/03/2017 01:00 EST,39,38,0.03,12.7
01/03/2017 02:00 EST,39,38,0.04,10.4
01/03/2017 03:00 EST,39,38,0.02,12.7
01/03/2017 04:00 EST,39,38,0.01,8.1
01/03/2017 05:00 EST,39,38,0,9.2
01/03/2017 06:00 EST,39,38,0,10.4
01/03/2017 07:00 EST,39,38,0,12.7
01/03/2017 08:00 EST,39,39,0,11.5
01/03/2017 09:00 EST,40,39,0,13.8
01/03/2017 10:00 EST,40,39,0,15
01/03/2017 11:00 EST,40,40,0.01,17.3
01/03/2017 12:00 EST,41,40,0.04,16.1
01/03/2017 13:00 EST,41,41,0.07,13.8
01/03/2017 14:00 EST,41,41,0.08,17.3
01/03/2017 15:00 EST,42,41,0.03,16.1
01/03/2017 16:00 EST,42,41,0.08,12.7
01/03/2017 17:00 EST,43,42,0.11,12.7
01/03/2017 18:00 EST,43,42,0,10.4
01/03/2017 19:00 EST,43,43,0.03,15
01/03/2017 20:00 EST,43,43,0,0
01/03/2017 21:00 EST,43,42,0,4.6
01/03/2017 22:00 EST,41,41,0,0
01/03/2017 23:00 EST,41,41,0.01,3.5
01/04/2017 00:00 EST,41,41,0.03,3.5
01/04/2017 01:00 EST,41,40,0,3.5
01/04/2017 02:00 EST,41,39,0,5.8
01/04/2017 03:00 EST,41,40,0,5.8
01/04/2017 04:00 EST,42,39,0,4.6
01/04/2017 05:00 EST,42,39,0,4.6
01/04/2017 06:00 EST,42,39,0,8.1
01/04/2017 07:00 EST,43,40,0,9.2
01/04/2017 08:00 EST,43,41,0,4.6
01/04/2017 09:00 EST,45,41,0,4.6
01/04/2017 10:00 EST,46,41,0,0
01/04/2017 11:00 EST,48,41,0,4.6
01/04/2017 12:00 EST,48,41,0,6.9
01/04/2017 13:00 EST,50,41,0,9.2
01/04/2017 14:00 EST,51,38,0,11.5
01/04/2017 15:00 EST,52,34,0,11.5
01/04/2017 16:00 EST,50,26,0,11.5
01/04/2017 17:00 EST,47,24,0,16.1
01/04/2017 18:00 EST,45,23,0,12.7
01/04/2017 19:00 EST,44,19,0,17.3
01/04/2017 20:00 EST,41,13,0,12.7
01/04/2017 21:00 EST,39,10,0,11.6
01/04/2017 22:00 EST,37,13,0,10.4
01/04/2017 23:00 EST,35,11,0,5.8
01/05/2017 00:00 EST,34,11,0,18.4
01/05/2017 01:00 EST,33,11,0,6.9
01/05/2017 02:00 EST,31,10,0,4.6
01/05/2017 03:00 EST,30,10,0,9.2
01/05/2017 04:00 EST,29,10,0,9.2
01/05/2017 05:00 EST,28,9,0,9.2
01/05/2017 06:00 EST,28,8,0,10.3
01/05/2017 07:00 EST,27,7,0,11.5
01/05/2017 08:00 EST,27,8,0,12.7
01/05/2017 09:00 EST,27,7,0,9.2
01/05/2017 10:00 EST,28,7,0,8.1
01/05/2017 11:00 EST,29,7,0,10.4
01/05/2017 12:00 EST,29,7,0,8.1
01/05/2017 13:00 EST,31,8,0,9.2
01/05/2017 14:00 EST,31,8,0,9.2
01/05/2017 15:00 EST,32,9,0,0
01/05/2017 16:00 EST,32,9,0,0
01/05/2017 17:00 EST,32,9,0,4.6
01/05/2017 18:00 EST,31,10,0,6.9
01/05/2017 19:00 EST,32,11,0,12.7
01/05/2017 20:00 EST,32,12,0,9.2
01/05/2017 21:00 EST,32,12,0,8.1
01/05/2017 22:00 EST,32,12,0,5.8
01/05/2017 23:00 EST,31,14,0,6.9
01/06/2017 00:00 EST,31,15,0,8.1
01/06/2017 01:00 EST,28,24,0,4.6
01/06/2017 02:00 EST,28,24,0.02,3.5
01/06/2017 03:00 EST,27,24,0.02,0
01/06/2017 04:00 EST,28,23,0,0
01/06/2017 05:00 EST,28,23,0,3.5
01/06/2017 06:00 EST,28,22,0,0
01/06/2017 07:00 EST,28,22,0,0
01/06/2017 08:00 EST,28,22,0.01,4.6
01/06/2017 09:00 EST,29,19,0,6.3
01/06/2017 10:00 EST,29,15,0,8.1
01/06/2017 11:00 EST,31,16,0,6.9
01/06/2017 12:00 EST,31,15,0,4.6
01/06/2017 13:00 EST,33,14,0,3.5
01/06/2017 14:00 EST,32,11,0,4.6
01/06/2017 15:00 EST,32,10,0,3.5
01/06/2017 16:00 EST,32,10,0,8.1
01/06/2017 17:00 EST,32,10,0,5.8
01/06/2017 18:00 EST,31,9,0,9.2
01/06/2017 19:00 EST,30,8,0,8.1
01/06/2017 20:00 EST,29,9,0,4.6
01/06/2017 21:00 EST,28,8,0,9.2
01/06/2017 22:00 EST,27,8,0,4.6
01/06/2017 23:00 EST,26,7,0,6.9
01/07/2017 00:00 EST,25,7,0,3.5
01/07/2017 01:00 EST,25,9,0,3.5
01/07/2017 02:00 EST,25,10,0,5.8
01/07/2017 03:00 EST,25,8,0,9.2
01/07/2017 04:00 EST,24,9,0,5.8
01/07/2017 05:00 EST,24,5,0,9.2
01/07/2017 06:00 EST,23,4,0,11.5
01/07/2017 07:00 EST,23,5,0,5.8
01/07/2017 08:00 EST,23,5,0,10.4
01/07/2017 09:00 EST,22,9,0,9.2
01/07/2017 10:00 EST,21,15,0,9.2
01/07/2017 11:00 EST,20,17,0.04,9.2
01/07/2017 12:00 EST,21,17,0.03,8.1
01/07/2017 13:00 EST,21,17,0.04,8.1
