sid	cx	cy
1	613.1547111	413.5510103
2	929.4973985	321.6745944
3	2057.335811	472.7538282
4	1959.741665	474.188547
5	1862.356235	473.5031568
6	2056.696533	340.9107844
7	1959.209893	341.0387945
8	1862.009726	340.6567892
9	1487.656127	482.2147472
10	1031.356465	484.4594612
11	940.3399097	476.7394776
12	937.2448023	399.1613883
13	1761.063644	649.632215
14	1847.032861	658.3473342
15	2300.015909	676.8974633
16	2202.929357	677.1322605
17	2298.735581	769.4445274
18	2201.979245	769.4445274
19	2105.701049	769.4445274
20	2008.00127	769.4445274
21	1910.542745	769.4445274
22	1813.805184	769.4445274
23	1716.172053	769.4445274
24	1618.523836	735.4722898
25	1651.926119	653.4826957
26	1473.237136	702.1098616
27	1155.487529	659.478748
28	1030.122775	614.5691224
29	1047.728415	677.1165289
30	940.7113524	677.4853433
31	809.241033	665.3642313
32	671.3095725	657.5867635
33	305.5992733	655.4546681
34	1154.724055	769.6099076
35	1047.699739	769.6099076
36	940.2013605	769.6099076
37	832.5059819	769.6099076
38	725.8131653	769.6099076
39	619.0009961	769.6099076
40	511.665494	769.6099076
41	404.8379411	769.6099076
42	296.6047685	769.6099076
43	80.92223658	757.7285798
44	80.87907284	638.0087417
45	81.5029835	514.1261973
46	264.9058022	359.558114
47	431.9199555	164.2972142
48	571.4274724	160.9036736
49	676.6903945	161.2591403
50	788.5735521	161.2591403
