Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD,
Hot Pie,None,,,,1,1,0,0,1,1,0,0,350
Taena of Myr,Lannister,,,,6,0,1,0,0,1,1,0,181
Godry Farring,Baratheon,,,,3,1,1,0,0,0,0,1,608
Harrion Karstark,Stark,,,,53,1,1,1,1,0,0,0,194
Jate Blackberry,House Baratheon,,3,10,10,1,0,0,0,1,0,0,64
Rorge,None,300,4,37,1,1,0,0,1,1,1,0,870
Bass,Night's Watch,,,,52,1,0,1,0,0,0,0,551
Borroq,Wildling,,,,0,1,0,0,0,0,0,1,501
Edric Dayne,None,,,,34,1,1,0,0,1,0,0,170
Mors Umber,Stark,,,,21,1,1,0,1,0,0,0,793
Quaro,Targaryen,298,1,64,50,1,0,1,0,0,0,0,607
Walder Rivers,None,,,,35,1,1,0,0,1,1,0,113
Tregar,House Lannister,298,1,39,35,1,0,1,0,0,0,0,44
Ottyn Wythers,Night's Watch,299,3,48,13,1,0,0,1,1,0,0,703
Murch,Night's Watch,,,,9,1,0,0,1,0,0,0,707
Guyard Morrigen,Baratheon,299,2,62,22,1,1,0,1,0,0,0,791
Rolfe,Greyjoy,,,,24,1,0,0,1,0,0,0,820
Benfrey Frey,None,299,5,51,51,1,1,0,0,1,0,0,854
Brynden Tully,House Tully,,,,2,1,1,1,1,1,1,0,287
